node,stress,x,y,z,angle_deg
10578,4.700103,1700.0,2771.84,205.725,35.999565312229265
10577,16.52732,1699.9,2759.71,214.541,35.99996912799418
10579,12.44531,1700.1,2783.98,196.908,35.999992259675196
10575,4.097898,1700.0,2946.84,332.87,71.99935495064142
10576,12.65426,1700.0,2951.48,318.604,72.00008986055343
10574,9.667274,1700.0,2942.21,347.136,72.00017335966874
10573,19.39666,1700.0,3158.52,318.605,107.99985728790347
10571,3.46673,1700.0,3167.79,347.135,107.99987514793344
10572,8.125422,1700.0,3163.16,332.87,108.00064504935858
10568,15.83769,1699.99,3350.29,214.542,143.9999038763625
10570,4.819084,1700.01,3326.02,196.908,144.0000077403248
10569,9.210921,1700.0,3338.16,205.725,144.00043468777073
7656,14.23763,1700.0,3420.0,0.0,180.0000784873692
7657,8.467371,1700.0,3405.0,0.0,180.0000818511136
7658,3.564242,1700.0,3390.0,0.0,180.00008551608883
10594,16.0738,1699.98,3326.03,-196.897,215.99760328786024
10593,6.961217,1700.0,3338.16,-205.725,215.9996977494555
10592,6.992522,1700.02,3350.28,-214.553,216.0025427549777
10590,16.99872,1700.0,3163.16,-332.87,251.99940553888456
10591,9.065337,1700.13,3158.52,-318.604,252.00014271209653
10589,29.62162,1699.87,3167.79,-347.135,252.00017335966874
10586,7.921062,1699.88,2942.21,-347.135,287.99982664033126
10588,11.48299,1700.12,2951.48,-318.604,287.99985728790347
10587,9.201871,1700.0,2946.84,-332.87,288.00059446111544
10583,8.161984,1700.0,2759.71,-214.542,323.9997768811282
10585,6.198031,1700.0,2783.98,-196.908,323.99986937224827
10584,3.866363,1700.0,2771.84,-205.725,324.0003022505445
10582,5.770881,1700.0,2720.0,0.0,359.9999144839112
10581,6.023851,1700.0,2705.0,0.0,359.9999181488864
10580,12.71611,1700.0,2690.0,0.0,359.9999215126308
