node,stress,x,y,z,angle_deg
10578,-3.38792,1700.0,2771.84,205.725,35.999565312229265
10577,-12.4855,1699.9,2759.71,214.541,35.99996912799418
10579,5.9273,1700.1,2783.98,196.908,35.999992259675196
10575,-0.166072,1700.0,2946.84,332.87,71.99935495064142
10576,-1.08658,1700.0,2951.48,318.604,72.00008986055343
10574,0.754433,1700.0,2942.21,347.136,72.00017335966874
10573,-0.413401,1700.0,3158.52,318.605,107.99985728790347
10571,-1.27239,1700.0,3167.79,347.135,107.99987514793344
10572,-0.846735,1700.0,3163.16,332.87,108.00064504935858
10568,-0.455218,1699.99,3350.29,214.542,143.9999038763625
10570,-1.81379,1700.01,3326.02,196.908,144.0000077403248
10569,-1.27303,1700.0,3338.16,205.725,144.00043468777073
7656,-0.394534,1700.0,3420.0,0.0,180.0000784873692
7657,-2.98573,1700.0,3405.0,0.0,180.0000818511136
7658,-5.18508,1700.0,3390.0,0.0,180.00008551608883
10594,6.63588,1699.98,3326.03,-196.897,215.99760328786024
10593,-3.26087,1700.0,3338.16,-205.725,215.9996977494555
10592,-12.6065,1700.02,3350.28,-214.553,216.0025427549777
10590,10.8031,1700.0,3163.16,-332.87,251.99940553888456
10591,8.54611,1700.13,3158.52,-318.604,252.00014271209653
10589,12.6436,1699.87,3167.79,-347.135,252.00017335966874
10586,-1.05333,1699.88,2942.21,-347.135,287.99982664033126
10588,4.27372,1700.12,2951.48,-318.604,287.99985728790347
10587,1.51783,1700.0,2946.84,-332.87,288.00059446111544
10583,9.59286,1700.0,2759.71,-214.542,323.9997768811282
10585,-8.23609,1700.0,2783.98,-196.908,323.99986937224827
10584,0.678383,1700.0,2771.84,-205.725,324.0003022505445
10582,-1.02631,1700.0,2720.0,0.0,359.9999144839112
10581,-1.54373,1700.0,2705.0,0.0,359.9999181488864
10580,-1.83555,1700.0,2690.0,0.0,359.9999215126308
