angle_deg,node,MAXSHEAR
0.000000,10306,4.871420335476e+00
0.000006,10305,6.952860974575e+00
16.306511,35966,2.467920698143e+00
22.393308,15201,5.636467404790e+00
22.683299,15203,8.854246044039e+00
44.762641,15136,1.031087625326e+01
44.999975,10722,5.009377382115e+00
44.999975,10773,4.514122403683e+00
45.001117,15137,1.138189475180e+01
45.237636,15138,1.245857026596e+01
90.000000,10725,1.907310719899e+01
90.000000,10770,6.285858900665e+00
90.000000,15151,1.511141248197e+01
134.754183,15155,1.003810967134e+01
134.998895,15154,1.062105239995e+01
135.000000,10728,1.012983473792e+01
135.000000,10767,7.355007495154e-01
135.245629,15153,1.125972034079e+01
141.622074,25065,6.364087088120e+00
157.316920,15234,5.020503915228e+00
157.607002,15232,3.810472942447e+00
179.999989,15167,4.309353283835e+00
179.999991,15168,3.193155593343e+00
179.999994,15169,2.177832837918e+00
180.000000,10731,1.246060094512e+00
180.000000,7663,8.911461441979e-01
202.392866,15235,3.996264723743e+00
202.682987,15237,4.437885196915e+00
224.754495,15170,1.072402532937e+01
225.000000,10698,5.267598323594e+00
225.000000,10734,2.775638247375e+00
225.001105,15171,1.051411184626e+01
225.245817,15172,1.034838662858e+01
270.000000,10695,6.763122285169e+00
270.000000,10737,1.889156099494e+01
270.000000,15185,1.491892772945e+01
314.754393,15189,1.391221803862e+01
314.998883,15188,1.293096607885e+01
315.000025,10692,3.750005861974e+00
315.000025,10740,8.735821465382e+00
315.245483,15187,1.210536417946e+01
337.316668,15268,8.283048179944e+00
337.606595,15266,5.577278644131e+00
343.693489,35969,3.213785981510e+00
359.999994,10307,2.811391653825e+00
360.000000,10713,1.950564840644e+00
360.000000,7666,1.537286915465e+00
360.000000,7669,1.595889064442e+00
