angle_deg,node,PMAX
0.000000,10306,8.310202649885e+00
0.000006,10305,1.159049260595e+01
16.306511,35966,9.194567431301e-01
22.393308,15201,9.356880415296e+00
22.683299,15203,5.365035629079e+00
44.762641,15136,3.297343010316e+00
44.999975,10722,1.184135796891e-01
44.999975,10773,-1.395189719927e+00
45.001117,15137,4.145420222794e+00
45.237636,15138,5.029197698444e+00
90.000000,10725,1.795465250730e+00
90.000000,10770,2.018370826219e+00
90.000000,15151,4.254617038259e-01
134.754183,15155,7.148439638640e+00
134.998895,15154,7.507567231626e+00
135.000000,10728,3.743487685401e+00
135.000000,10767,7.070917844285e-01
135.245629,15153,8.012300739457e+00
141.622074,25065,7.499495891657e-01
157.316920,15234,4.789147587883e+00
157.607002,15232,8.312341925196e+00
179.999989,15167,8.287375102001e+00
179.999991,15168,5.581192138149e+00
179.999994,15169,3.092702044026e+00
180.000000,10731,1.354694159983e+00
180.000000,7663,8.993958343171e-01
202.392866,15235,7.039972514761e+00
202.682987,15237,5.365795639894e+00
224.754495,15170,4.373900243041e+00
225.000000,10698,2.898773231631e+00
225.000000,10734,7.730458163870e-01
225.001105,15171,6.570021144435e+00
225.245817,15172,8.877823964279e+00
270.000000,10695,2.148795743994e+00
270.000000,10737,1.568307924480e+00
270.000000,15185,1.370945238562e+00
314.754393,15189,7.461004431613e+00
314.998883,15188,6.994725390485e+00
315.000025,10692,1.033849422222e+00
315.000025,10740,-1.184837952555e-01
315.245483,15187,6.731135880116e+00
337.316668,15268,7.098721798448e+00
337.606595,15266,1.084171138975e+01
343.693489,35969,2.091325456652e+00
359.999994,10307,5.082613637589e+00
360.000000,10713,3.394632041902e+00
360.000000,7666,-8.525830506294e-01
360.000000,7669,7.341980994840e-02
