angle_deg,node,PMIN
0.000000,10306,-1.432638021066e+00
0.000006,10305,-2.315229343196e+00
16.306511,35966,-4.016384653156e+00
22.393308,15201,-1.916054394283e+00
22.683299,15203,-1.234345645900e+01
44.762641,15136,-1.732440949621e+01
44.999975,10722,-9.900341184542e+00
44.999975,10773,-1.042343452729e+01
45.001117,15137,-1.861836928081e+01
45.237636,15138,-1.988794283348e+01
90.000000,10725,-3.635074914725e+01
90.000000,10770,-1.055334697511e+01
90.000000,15151,-2.979736326012e+01
134.754183,15155,-1.292777970405e+01
134.998895,15154,-1.373453756826e+01
135.000000,10728,-1.651618179045e+01
135.000000,10767,-7.639097146024e-01
135.245629,15153,-1.450713994213e+01
141.622074,25065,-1.197822458707e+01
157.316920,15234,-5.251860242572e+00
157.607002,15232,6.913960403010e-01
179.999989,15167,-3.313314656682e-01
179.999991,15168,-8.051190485381e-01
179.999994,15169,-1.262963631811e+00
180.000000,10731,-1.137426029040e+00
180.000000,7663,-8.828964540786e-01
202.392866,15235,-9.525569327255e-01
202.682987,15237,-3.509974753937e+00
224.754495,15170,-1.707415041570e+01
225.000000,10698,-7.636423415558e+00
225.000000,10734,-4.778230678364e+00
225.001105,15171,-1.445820254808e+01
225.245817,15172,-1.181894929288e+01
270.000000,10695,-1.137744882634e+01
270.000000,10737,-3.621481406539e+01
270.000000,15185,-2.846691022034e+01
314.754393,15189,-2.036343164563e+01
314.998883,15188,-1.886720676722e+01
315.000025,10692,-6.466162301726e+00
315.000025,10740,-1.759012672602e+01
315.245483,15187,-1.747959247879e+01
337.316668,15268,-9.467374561440e+00
337.606595,15266,-3.128458985083e-01
343.693489,35969,-4.336246506369e+00
359.999994,10307,-5.401696700605e-01
360.000000,10713,-5.064976393864e-01
360.000000,7666,-3.927156881560e+00
360.000000,7669,-3.118358318935e+00
