angle_deg,node,SXX
0.000000,10306,-1.417400000000e+00
0.000006,10305,-2.306010000000e+00
16.306511,35966,-3.615180000000e+00
22.393308,15201,6.270330000000e-01
22.683299,15203,-9.746010000000e-01
44.762641,15136,-1.891220000000e+00
44.999975,10722,-2.164160000000e+00
44.999975,10773,-1.400450000000e+00
45.001117,15137,-2.041100000000e+00
45.237636,15138,-2.172560000000e+00
90.000000,10725,9.595390000000e-01
90.000000,10770,9.321750000000e-01
90.000000,15151,-1.149330000000e-01
134.754183,15155,-4.783040000000e-01
134.998895,15154,-4.788480000000e-01
135.000000,10728,1.846650000000e-01
135.000000,10767,2.720710000000e-01
135.245629,15153,-4.320670000000e-01
141.622074,25065,7.209540000000e-01
157.316920,15234,8.121560000000e-01
157.607002,15232,2.454110000000e+00
179.999989,15167,-3.193080000000e-01
179.999991,15168,-7.962290000000e-01
179.999994,15169,-1.250460000000e+00
180.000000,10731,-9.596920000000e-01
180.000000,7663,-6.460570000000e-01
202.392866,15235,1.541640000000e+00
202.682987,15237,1.617860000000e+00
224.754495,15170,-2.977290000000e+00
225.000000,10698,2.185370000000e-01
225.000000,10734,-5.198020000000e-01
225.001105,15171,-1.590400000000e+00
225.245817,15172,-1.754290000000e-01
270.000000,10695,1.154620000000e+00
270.000000,10737,8.975570000000e-01
270.000000,15185,6.977860000000e-01
314.754393,15189,-1.599400000000e+00
314.998883,15188,-1.264780000000e+00
315.000025,10692,-7.353990000000e-01
315.000025,10740,-1.382970000000e+00
315.245483,15187,-8.772450000000e-01
337.316668,15268,4.510190000000e-01
337.606595,15266,1.631350000000e+00
343.693489,35969,-4.061310000000e+00
359.999994,10307,-4.999040000000e-01
360.000000,10713,2.374540000000e+00
360.000000,7666,-3.721640000000e+00
360.000000,7669,-2.267610000000e+00
