#angle_deg,node,SYY
0.000000,10306,4.352110000000e+00
0.000006,10305,7.716200000000e+00
16.306511,35966,-1.117720000000e+00
22.393308,15201,-1.336420000000e+00
22.683299,15203,-1.093350000000e+01
44.762641,15136,-1.643730000000e+01
44.999975,10722,-4.005280000000e+00
44.999975,10773,-6.179160000000e+00
45.001117,15137,-1.777830000000e+01
45.237636,15138,-1.909880000000e+01
90.000000,10725,-3.620760000000e+01
90.000000,10770,-1.041850000000e+01
90.000000,15151,-2.978860000000e+01
134.754183,15155,-1.243190000000e+01
134.998895,15154,-1.310050000000e+01
135.000000,10728,-6.922750000000e+00
135.000000,10767,5.929600000000e-01
135.245629,15153,-1.371930000000e+01
141.622074,25065,-1.197820000000e+01
157.316920,15234,-4.857910000000e+00
157.607002,15232,1.700000000000e+00
179.999989,15167,8.055530000000e+00
179.999991,15168,4.218800000000e+00
179.999994,15169,4.189440000000e-01
180.000000,10731,6.269930000000e-01
180.000000,7663,6.576370000000e-01
202.392866,15235,-6.777760000000e-01
202.682987,15237,-3.060510000000e+00
224.754495,15170,-1.644440000000e+01
225.000000,10698,-7.056690000000e-01
225.000000,10734,-1.261930000000e+00
225.001105,15171,-1.367490000000e+01
225.245817,15172,-1.087830000000e+01
270.000000,10695,-1.130660000000e+01
270.000000,10737,-3.599220000000e+01
270.000000,15185,-2.844140000000e+01
314.754393,15189,-1.946070000000e+01
314.998883,15188,-1.750030000000e+01
315.000025,10692,-2.783790000000e+00
315.000025,10740,-1.028090000000e+01
315.245483,15187,-1.549180000000e+01
337.316668,15268,-8.464470000000e+00
337.606595,15266,2.838270000000e-01
343.693489,35969,-6.666390000000e-01
359.999994,10307,1.024690000000e+00
360.000000,10713,3.151030000000e+00
360.000000,7666,-1.023310000000e+00
360.000000,7669,-1.925550000000e+00
