angle_deg,node,SYZ
0.000000,10306,-1.144900000000e-01
0.000006,10305,-7.085580000000e-02
16.306511,35966,-8.091740000000e-01
22.393308,15201,1.251790000000e+00
22.683299,15203,4.518190000000e+00
44.762641,15136,4.059360000000e+00
44.999975,10722,4.133160000000e+00
44.999975,10773,4.400490000000e+00
45.001117,15137,4.154770000000e+00
45.237636,15138,4.229360000000e+00
90.000000,10725,2.303120000000e+00
90.000000,10770,1.334310000000e-01
90.000000,15151,2.852470000000e-01
134.754183,15155,-2.980900000000e+00
134.998895,15154,-3.521900000000e+00
135.000000,10728,-9.633550000000e+00
135.000000,10767,-3.349210000000e-01
135.245629,15153,-4.054050000000e+00
141.622074,25065,1.733810000000e-02
157.316920,15234,-7.655680000000e-01
157.607002,15232,7.655270000000e-01
179.999989,15167,2.004820000000e-01
179.999991,15168,3.324000000000e-02
179.999994,15169,-1.328360000000e-01
180.000000,10731,9.496610000000e-02
180.000000,7663,2.059370000000e-02
202.392866,15235,-2.436330000000e-01
202.682987,15237,1.517940000000e+00
224.754495,15170,3.094020000000e+00
225.000000,10698,4.990160000000e+00
225.000000,10734,2.139890000000e+00
225.001105,15171,3.480010000000e+00
225.245817,15172,3.851970000000e+00
270.000000,10695,4.761410000000e-01
270.000000,10737,2.887710000000e+00
270.000000,15185,-5.428410000000e-01
314.754393,15189,-4.890060000000e+00
314.998883,15188,-5.746980000000e+00
315.000025,10692,-2.948600000000e+00
315.000025,10740,-8.315010000000e+00
315.245483,15187,-6.597800000000e+00
337.316668,15268,-3.541580000000e+00
337.606595,15266,-7.117190000000e-01
343.693489,35969,9.539720000000e-01
359.999994,10307,-1.597710000000e-01
360.000000,10713,2.280430000000e-01
360.000000,7666,2.677950000000e-01
360.000000,7669,-2.101560000000e-02
