angle_deg,node,VONMISES
0.000000,10306,8.487953916999e+00
0.000006,10305,1.243149914899e+01
16.306511,35966,4.296260504916e+00
22.393308,15201,1.012079208057e+01
22.683299,15203,1.556703925652e+01
44.762641,15136,1.848823180666e+01
44.999975,10722,9.663613758036e+00
44.999975,10773,8.918775312831e+00
45.001117,15137,2.032202515084e+01
45.237636,15138,2.216018034581e+01
90.000000,10725,3.770030414731e+01
90.000000,10770,1.184179796623e+01
90.000000,15151,2.738707378784e+01
134.754183,15155,1.754356251355e+01
134.998895,15154,1.858218355341e+01
135.000000,10728,1.856681976914e+01
135.000000,10767,1.433410035532e+00
135.245629,15153,1.970779962546e+01
141.622074,25065,1.249220924328e+01
157.316920,15234,8.802646495080e+00
157.607002,15232,6.695726466994e+00
179.999989,15167,8.424449827136e+00
179.999991,15168,5.828384467216e+00
179.999994,15169,3.803844874672e+00
180.000000,10731,2.260800927748e+00
180.000000,7663,1.643319800866e+00
202.392866,15235,7.031203152316e+00
202.682987,15237,7.733566072585e+00
224.754495,15170,1.879473539664e+01
225.000000,10698,9.488340738239e+00
225.000000,10734,5.500381772454e+00
225.001105,15171,1.832370257521e+01
225.245817,15172,1.795841350117e+01
270.000000,10695,1.287849198144e+01
270.000000,10737,3.744032668610e+01
270.000000,15185,2.677886767407e+01
314.754393,15189,2.452647095955e+01
314.998883,15188,2.281718104338e+01
315.000025,10692,6.613273971112e+00
315.000025,10740,1.690290768353e+01
315.245483,15187,2.137838371040e+01
337.316668,15268,1.446124094343e+01
337.606595,15266,1.014066069829e+01
343.693489,35969,5.580729689735e+00
359.999994,10307,5.018514933347e+00
360.000000,10713,3.453058979446e+00
360.000000,7666,2.740993740569e+00
360.000000,7669,2.792809262496e+00
