angle_deg,node,SXY
0.000000,10306,-2.384080000000e-01
0.000006,10305,-2.407070000000e-01
16.306511,35966,-1.047080000000e+00
22.393308,15201,1.060260000000e+00
22.683299,15203,1.230690000000e+00
44.762641,15136,1.204860000000e+00
44.999975,10722,1.714640000000e+00
44.999975,10773,-2.118850000000e-01
45.001117,15137,1.195290000000e+00
45.237636,15138,1.121830000000e+00
90.000000,10725,2.865840000000e-01
90.000000,10770,1.162570000000e+00
90.000000,15151,4.003470000000e-01
134.754183,15155,1.899760000000e-01
134.998895,15154,1.344410000000e-02
135.000000,10728,-2.294710000000e+00
135.000000,10767,1.560670000000e-01
135.245629,15153,-9.851560000000e-02
141.622074,25065,1.803560000000e-03
157.316920,15234,-8.898420000000e-01
157.607002,15232,-8.515880000000e-01
179.999989,15167,1.236580000000e-01
179.999991,15168,-2.028360000000e-02
179.999994,15169,-1.211280000000e-01
180.000000,10731,-3.286400000000e-01
180.000000,7663,4.417210000000e-01
202.392866,15235,-6.604570000000e-01
202.682987,15237,-6.531470000000e-01
224.754495,15170,-2.260670000000e+00
225.000000,10698,1.990470000000e-02
225.000000,10734,-1.441430000000e+00
225.001105,15171,-2.144830000000e+00
225.245817,15172,-1.971860000000e+00
270.000000,10695,-7.819700000000e-01
270.000000,10737,-4.867620000000e-02
270.000000,15185,5.757110000000e-01
314.754393,15189,-6.441780000000e-01
314.998883,15188,-4.897680000000e-01
315.000025,10692,-1.175770000000e+00
315.000025,10740,1.489880000000e+00
315.245483,15187,-3.737250000000e-01
337.316668,15268,1.221180000000e+00
337.606595,15266,1.013640000000e+00
343.693489,35969,8.007470000000e-01
359.999994,10307,-2.009050000000e-01
360.000000,10713,1.769990000000e-01
360.000000,7666,1.140600000000e+00
360.000000,7669,-1.598760000000e+00
