angle_deg,node,SYY
0.000000,10306,4.930830000000e+00
0.000006,10305,7.961100000000e+00
16.306511,35966,-3.347230000000e-01
22.393308,15201,-3.685080000000e+00
22.683299,15203,-1.171650000000e+01
44.762641,15136,-1.970690000000e+01
44.999975,10722,-3.278690000000e+00
44.999975,10773,-4.275710000000e+00
45.001117,15137,-2.047110000000e+01
45.237636,15138,-2.121430000000e+01
90.000000,10725,-3.098390000000e+01
90.000000,10770,-9.065530000000e+00
90.000000,15151,-2.475710000000e+01
134.754183,15155,-1.444370000000e+01
134.998895,15154,-1.664100000000e+01
135.000000,10728,-6.093280000000e+00
135.000000,10767,4.476390000000e-01
135.245629,15153,-1.878860000000e+01
141.622074,25065,-1.180960000000e+01
157.316920,15234,-5.284400000000e+00
157.607002,15232,-2.943820000000e+00
179.999989,15167,8.019490000000e+00
179.999991,15168,4.602970000000e+00
179.999994,15169,1.216970000000e+00
180.000000,10731,5.153250000000e-01
180.000000,7663,5.834740000000e-01
202.392866,15235,-4.542830000000e+00
202.682987,15237,-4.321160000000e+00
224.754495,15170,-2.082890000000e+01
225.000000,10698,-4.217980000000e-02
225.000000,10734,-1.321890000000e+00
225.001105,15171,-1.712620000000e+01
225.245817,15172,-1.339500000000e+01
270.000000,10695,-9.717590000000e+00
270.000000,10737,-3.102300000000e+01
270.000000,15185,-2.358390000000e+01
314.754393,15189,-2.192540000000e+01
314.998883,15188,-2.024760000000e+01
315.000025,10692,-2.282850000000e+00
315.000025,10740,-8.097310000000e+00
315.245483,15187,-1.851590000000e+01
337.316668,15268,-9.761890000000e+00
337.606595,15266,-2.416590000000e+00
343.693489,35969,-2.045890000000e-01
359.999994,10307,1.927570000000e+00
360.000000,10713,1.875360000000e+00
360.000000,7666,-1.113870000000e+00
360.000000,7669,-1.433640000000e+00
