angle_deg,node,SZX
0.000000,10306,-9.546660000000e-02
0.000006,10305,-1.316110000000e-01
16.306511,35966,-8.976090000000e-02
22.393308,15201,3.899490000000e-02
22.683299,15203,-3.817540000000e-01
44.762641,15136,1.507640000000e+00
44.999975,10722,-2.203960000000e+00
44.999975,10773,-6.563190000000e-02
45.001117,15137,1.494860000000e+00
45.237636,15138,1.501850000000e+00
90.000000,10725,1.804380000000e-01
90.000000,10770,7.013970000000e-01
90.000000,15151,-1.925250000000e+00
134.754183,15155,3.380540000000e-01
134.998895,15154,6.728840000000e-01
135.000000,10728,-2.499080000000e-01
135.000000,10767,4.438240000000e-01
135.245629,15153,1.012710000000e+00
141.622074,25065,1.291170000000e-01
157.316920,15234,-1.822840000000e-01
157.607002,15232,1.536860000000e-01
179.999989,15167,-2.856300000000e-02
179.999991,15168,-3.809200000000e-02
179.999994,15169,-4.960530000000e-02
180.000000,10731,-1.200600000000e-01
180.000000,7663,7.459440000000e-02
202.392866,15235,7.534370000000e-02
202.682987,15237,3.839550000000e-01
224.754495,15170,-2.703190000000e+00
225.000000,10698,2.869220000000e-01
225.000000,10734,1.311010000000e+00
225.001105,15171,-2.470100000000e+00
225.245817,15172,-2.235800000000e+00
270.000000,10695,-6.418710000000e-01
270.000000,10737,-1.670870000000e-01
270.000000,15185,2.268490000000e+00
314.754393,15189,9.729670000000e-01
314.998883,15188,9.386790000000e-01
315.000025,10692,-5.773570000000e-01
315.000025,10740,1.399360000000e+00
315.245483,15187,8.642600000000e-01
337.316668,15268,5.812370000000e-01
337.606595,15266,1.548240000000e-01
343.693489,35969,-2.764450000000e-01
359.999994,10307,-5.591290000000e-02
360.000000,10713,-2.384470000000e-01
360.000000,7666,4.929620000000e-01
360.000000,7669,-1.115260000000e-01
