angle_deg,node,SZZ
0.000000,10306,7.923180000000e+00
0.000006,10305,1.070490000000e+01
16.306511,35966,6.125010000000e-01
22.393308,15201,6.953160000000e+00
22.683299,15203,3.286260000000e+00
44.762641,15136,1.898240000000e+00
44.999975,10722,-3.838790000000e+00
44.999975,10773,-5.188920000000e+00
45.001117,15137,3.069770000000e+00
45.237636,15138,4.253610000000e+00
90.000000,10725,8.836690000000e-01
90.000000,10770,8.819930000000e-01
90.000000,15151,-6.637030000000e+00
134.754183,15155,8.031540000000e+00
134.998895,15154,7.265640000000e+00
135.000000,10728,-4.627530000000e+00
135.000000,10767,-4.072220000000e-01
135.245629,15153,6.612510000000e+00
141.622074,25065,3.194570000000e-01
157.316920,15234,4.212760000000e+00
157.607002,15232,5.698710000000e+00
179.999989,15167,7.119010000000e+00
179.999991,15168,5.107700000000e+00
179.999994,15169,3.118600000000e+00
180.000000,10731,1.142340000000e+00
180.000000,7663,3.080040000000e-01
202.392866,15235,4.686070000000e+00
202.682987,15237,4.438090000000e+00
224.754495,15170,3.372690000000e+00
225.000000,10698,-3.008440000000e+00
225.000000,10734,-1.172420000000e+00
225.001105,15171,6.104960000000e+00
225.245817,15172,8.916010000000e+00
270.000000,10695,1.150670000000e+00
270.000000,10737,8.221030000000e-01
270.000000,15185,-6.490180000000e+00
314.754393,15189,6.915610000000e+00
314.998883,15188,6.319730000000e+00
315.000025,10692,-3.155490000000e+00
315.000025,10740,-6.182450000000e+00
315.245483,15187,5.808400000000e+00
337.316668,15268,5.548110000000e+00
337.606595,15266,8.979360000000e+00
343.693489,35969,1.362550000000e+00
359.999994,10307,5.180210000000e+00
360.000000,10713,-4.894610000000e-01
360.000000,7666,-3.321220000000e+00
360.000000,7669,-8.319110000000e-01
