component,min_value,min_node,min_angle_deg,max_value,max_node,max_angle_deg
SXX,-4.492880000000e+00,15170,224.754495,1.900600000000e+00,15237,202.682987
SYY,-3.102300000000e+01,10737,270.000000,8.019490000000e+00,15167,179.999989
SZZ,-6.637030000000e+00,15151,90.000000,1.070490000000e+01,10305,0.000006
SXY,-2.294710000000e+00,10728,135.000000,1.714640000000e+00,10722,44.999975
SYZ,-7.724360000000e+00,10728,135.000000,5.391250000000e+00,15203,22.683299
SZX,-2.703190000000e+00,15170,224.754495,2.268490000000e+00,15185,270.000000
VM,1.242849205176e+00,7663,180.000000,3.205419294307e+01,10737,270.000000
PMAX,-9.884996774435e-01,10773,44.999975,1.072044342750e+01,10305,0.000006
PMIN,-3.119173198314e+01,10737,270.000000,-3.549971762651e-01,15167,179.999989
MAXSHEAR,7.006521284907e-01,7663,180.000000,1.613324089368e+01,10737,270.000000
