angle_deg,node,MAXSHEAR
0.000000,10306,4.789648335613e+00
0.000006,10305,6.663725555723e+00
16.306511,35966,2.345938444355e+00
22.393308,15201,5.778154301179e+00
22.683299,15203,9.096593077580e+00
44.762641,15136,1.108994647731e+01
44.999975,10722,4.500423514812e+00
44.999975,10773,4.022469529231e+00
45.001117,15137,1.206217404364e+01
45.237636,15138,1.303854320751e+01
90.000000,10725,1.752865934226e+01
90.000000,10770,5.825189750200e+00
90.000000,15151,1.366309700310e+01
134.754183,15155,1.096521542837e+01
134.998895,15154,1.163190995580e+01
135.000000,10728,9.096338328929e+00
135.000000,10767,7.843020349129e-01
135.245629,15153,1.234121870320e+01
141.622074,25065,6.339170562228e+00
157.316920,15234,5.043208876552e+00
157.607002,15232,3.985495878855e+00
179.999989,15167,4.211380932116e+00
179.999991,15168,3.031965482198e+00
179.999994,15169,2.120024349865e+00
180.000000,10731,1.120134422253e+00
180.000000,7663,7.760134016344e-01
202.392866,15235,4.327841517812e+00
202.682987,15237,4.716783911523e+00
224.754495,15170,1.202072114920e+01
225.000000,10698,4.698158208853e+00
225.000000,10734,2.629840042177e+00
225.001105,15171,1.166100091377e+01
225.245817,15172,1.134566169334e+01
270.000000,10695,6.244376451799e+00
270.000000,10737,1.748064007233e+01
270.000000,15185,1.355546075511e+01
314.754393,15189,1.464732402718e+01
314.998883,15188,1.378351716870e+01
315.000025,10692,3.262564129897e+00
315.000025,10740,7.755363054574e+00
315.245483,15187,1.304740777911e+01
337.316668,15268,8.575861631592e+00
337.606595,15266,5.806921783470e+00
343.693489,35969,2.909453688723e+00
359.999994,10307,2.929097679480e+00
360.000000,10713,1.551614560343e+00
360.000000,7666,1.606989557852e+00
360.000000,7669,1.464307003094e+00
