angle_deg,node,PMAX
0.000000,10306,8.114949054332e+00
0.000006,10305,1.111138974382e+01
16.306511,35966,1.153388599371e+00
22.393308,15201,8.325435765490e+00
22.683299,15203,5.175983034222e+00
44.762641,15136,3.227236822540e+00
44.999975,10722,4.226153587775e-02
44.999975,10773,-1.231212448560e+00
45.001117,15137,4.174510079463e+00
45.237636,15138,5.156589137534e+00
90.000000,10725,1.416839482721e+00
90.000000,10770,1.795629511469e+00
90.000000,15151,3.070033475010e-01
134.754183,15155,7.863939600410e+00
134.998895,15154,7.735279127861e+00
135.000000,10728,3.387371893888e+00
135.000000,10767,7.374852930176e-01
135.245629,15153,7.741200342869e+00
141.622074,25065,7.989270945730e-01
157.316920,15234,4.582236241073e+00
157.607002,15232,6.869692265392e+00
179.999989,15167,8.063540908472e+00
179.999991,15168,5.301279347693e+00
179.999994,15169,3.091619517772e+00
180.000000,10731,1.283184904503e+00
180.000000,7663,8.028730233958e-01
202.392866,15235,5.777963896380e+00
202.682987,15237,5.142799431039e+00
224.754495,15170,4.683295349907e+00
225.000000,10698,2.831357615750e+00
225.000000,10734,7.565159013652e-01
225.001105,15171,7.085136250009e+00
225.245817,15172,9.602519899770e+00
270.000000,10695,1.947489114835e+00
270.000000,10737,1.309628401163e+00
270.000000,15185,1.333393662931e+00
314.754393,15189,7.640082197202e+00
314.998883,15188,7.379775902556e+00
315.000025,10692,5.640869832392e-01
315.000025,10740,-2.936010471582e-01
315.245483,15187,7.303258783664e+00
337.316668,15268,6.850998639110e+00
337.606595,15266,9.967624550912e+00
343.693489,35969,1.969445921704e+00
359.999994,10307,5.163277417573e+00
360.000000,10713,2.613744564239e+00
360.000000,7666,-7.882276002945e-01
360.000000,7669,-3.792634189483e-01
