angle_deg,node,PMIN
0.000000,10306,-1.464347616893e+00
0.000006,10305,-2.216061367626e+00
16.306511,35966,-3.538488289340e+00
22.393308,15201,-3.230872836868e+00
22.683299,15203,-1.301720312094e+01
44.762641,15136,-1.895265613207e+01
44.999975,10722,-8.958585493747e+00
44.999975,10773,-9.276151507022e+00
45.001117,15137,-1.994983800782e+01
45.237636,15138,-2.092049727748e+01
90.000000,10725,-3.364047920180e+01
90.000000,10770,-9.854749988930e+00
90.000000,15151,-2.701919065869e+01
134.754183,15155,-1.406649125632e+01
134.998895,15154,-1.552854078374e+01
135.000000,10728,-1.480530476397e+01
135.000000,10767,-8.311187768082e-01
135.245629,15153,-1.694123706353e+01
141.622074,25065,-1.187941402988e+01
157.316920,15234,-5.504181512030e+00
157.607002,15232,-1.101299492318e+00
179.999989,15167,-3.592209557598e-01
179.999991,15168,-7.626516167028e-01
179.999994,15169,-1.148429181958e+00
180.000000,10731,-9.570839400026e-01
180.000000,7663,-7.491537798731e-01
202.392866,15235,-2.877719139245e+00
202.682987,15237,-4.290768392007e+00
224.754495,15170,-1.935814694850e+01
225.000000,10698,-6.564958801957e+00
225.000000,10734,-4.503164182989e+00
225.001105,15171,-1.623686557754e+01
225.245817,15172,-1.308880348692e+01
270.000000,10695,-1.054126378876e+01
270.000000,10737,-3.365165174349e+01
270.000000,15185,-2.577752784729e+01
314.754393,15189,-2.165456585715e+01
314.998883,15188,-2.018725843484e+01
315.000025,10692,-5.961041276554e+00
315.000025,10740,-1.580432715631e+01
315.245483,15187,-1.879155677456e+01
337.316668,15268,-1.030072462407e+01
337.606595,15266,-1.646219016028e+00
343.693489,35969,-3.849461455741e+00
359.999994,10307,-6.949179413882e-01
360.000000,10713,-4.894845564473e-01
360.000000,7666,-4.002206715998e+00
360.000000,7669,-3.307877425136e+00
