angle_deg,node,SXX
0.000000,10306,-1.452060000000e+00
0.000006,10305,-2.207910000000e+00
16.306511,35966,-3.122160000000e+00
22.393308,15201,3.833240000000e-01
22.683299,15203,-1.001500000000e+00
44.762641,15136,-2.494550000000e+00
44.999975,10722,-1.967020000000e+00
44.999975,10773,-1.398190000000e+00
45.001117,15137,-2.522690000000e+00
45.237636,15138,-2.532380000000e+00
90.000000,10725,8.568040000000e-01
90.000000,10770,8.014700000000e-01
90.000000,15151,-2.412220000000e-01
134.754183,15155,-1.008860000000e+00
134.998895,15154,-1.362630000000e+00
135.000000,10728,1.423940000000e-01
135.000000,10767,2.724720000000e-01
135.245629,15153,-1.666650000000e+00
141.622074,25065,7.681500000000e-01
157.316920,15234,1.135250000000e+00
157.607002,15232,1.893750000000e+00
179.999989,15167,-3.535710000000e-01
179.999991,15168,-7.609910000000e-01
179.999994,15169,-1.148030000000e+00
180.000000,10731,-8.338840000000e-01
180.000000,7663,-5.515160000000e-01
202.392866,15235,1.097230000000e+00
202.682987,15237,1.772620000000e+00
224.754495,15170,-3.764530000000e+00
225.000000,10698,1.932730000000e-01
225.000000,10734,-4.610690000000e-01
225.001105,15171,-2.162650000000e+00
225.245817,15172,-5.304910000000e-01
270.000000,10695,1.021900000000e+00
270.000000,10737,8.062410000000e-01
270.000000,15185,6.604450000000e-01
314.754393,15189,-2.331330000000e+00
314.998883,15188,-1.933410000000e+00
315.000025,10692,-7.276070000000e-01
315.000025,10740,-1.286740000000e+00
315.245483,15187,-1.479610000000e+00
337.316668,15268,4.415420000000e-01
337.606595,15266,1.490860000000e+00
343.693489,35969,-3.568110000000e+00
359.999994,10307,-6.711260000000e-01
360.000000,10713,2.120730000000e+00
360.000000,7666,-3.569640000000e+00
360.000000,7669,-2.152670000000e+00
