angle_deg,node,SXY
0.000000,10306,-2.571260000000e-01
0.000006,10305,-2.551440000000e-01
16.306511,35966,-1.057500000000e+00
22.393308,15201,1.069140000000e+00
22.683299,15203,1.262650000000e+00
44.762641,15136,1.103440000000e+00
44.999975,10722,1.933910000000e+00
44.999975,10773,-1.257260000000e-01
45.001117,15137,1.126530000000e+00
45.237636,15138,1.082450000000e+00
90.000000,10725,3.269990000000e-01
90.000000,10770,1.216290000000e+00
90.000000,15151,3.903810000000e-01
134.754183,15155,5.634230000000e-01
134.998895,15154,4.215290000000e-01
135.000000,10728,-2.425930000000e+00
135.000000,10767,1.714960000000e-01
135.245629,15153,3.487820000000e-01
141.622074,25065,1.475950000000e-03
157.316920,15234,-1.143750000000e+00
157.607002,15232,-1.064330000000e+00
179.999989,15167,2.168880000000e-01
179.999991,15168,8.928500000000e-02
179.999994,15169,3.357460000000e-03
180.000000,10731,-4.291350000000e-01
180.000000,7663,5.041800000000e-01
202.392866,15235,-7.519520000000e-01
202.682987,15237,-7.819280000000e-01
224.754495,15170,-2.021960000000e+00
225.000000,10698,-5.692450000000e-02
225.000000,10734,-1.515420000000e+00
225.001105,15171,-1.964600000000e+00
225.245817,15172,-1.847340000000e+00
270.000000,10695,-8.170390000000e-01
270.000000,10737,-9.305650000000e-02
270.000000,15185,5.649330000000e-01
314.754393,15189,-6.837120000000e-01
314.998883,15188,-5.581510000000e-01
315.000025,10692,-1.506760000000e+00
315.000025,10740,1.492290000000e+00
315.245483,15187,-4.725880000000e-01
337.316668,15268,1.258830000000e+00
337.606595,15266,1.025790000000e+00
343.693489,35969,8.901100000000e-01
359.999994,10307,-2.207500000000e-01
360.000000,10713,3.030860000000e-01
360.000000,7666,8.751130000000e-01
360.000000,7669,-1.356910000000e+00
