angle_deg,node,SYY
0.000000,10306,4.661660000000e+00
0.000006,10305,7.857250000000e+00
16.306511,35966,-6.357690000000e-01
22.393308,15201,-2.577270000000e+00
22.683299,15203,-1.137080000000e+01
44.762641,15136,-1.816950000000e+01
44.999975,10722,-3.586350000000e+00
44.999975,10773,-5.107180000000e+00
45.001117,15137,-1.921380000000e+01
45.237636,15138,-2.023720000000e+01
90.000000,10725,-3.351380000000e+01
90.000000,10770,-9.714690000000e+00
90.000000,15151,-2.700780000000e+01
134.754183,15155,-1.357680000000e+01
134.998895,15154,-1.498710000000e+01
135.000000,10728,-6.439820000000e+00
135.000000,10767,5.219000000000e-01
135.245629,15153,-1.634680000000e+01
141.622074,25065,-1.187940000000e+01
157.316920,15234,-5.120410000000e+00
157.607002,15232,-7.230480000000e-01
179.999989,15167,8.021980000000e+00
179.999991,15168,4.402460000000e+00
179.999994,15169,8.163620000000e-01
180.000000,10731,5.627050000000e-01
180.000000,7663,6.151850000000e-01
202.392866,15235,-2.700010000000e+00
202.682987,15237,-3.756670000000e+00
224.754495,15170,-1.875690000000e+01
225.000000,10698,-2.572470000000e-01
225.000000,10734,-1.287020000000e+00
225.001105,15171,-1.551500000000e+01
225.245817,15172,-1.224470000000e+01
270.000000,10695,-1.046780000000e+01
270.000000,10737,-3.345760000000e+01
270.000000,15185,-2.574910000000e+01
314.754393,15189,-2.083450000000e+01
314.998883,15188,-1.896490000000e+01
315.000025,10692,-2.496400000000e+00
315.000025,10740,-9.073950000000e+00
315.245483,15187,-1.704320000000e+01
337.316668,15268,-9.182620000000e+00
337.606595,15266,-1.149270000000e+00
343.693489,35969,-3.696680000000e-01
359.999994,10307,1.497430000000e+00
360.000000,10713,2.426870000000e+00
360.000000,7666,-1.129700000000e+00
360.000000,7669,-1.693750000000e+00
