angle_deg,node,SYZ
0.000000,10306,-1.734740000000e-01
0.000006,10305,-1.422110000000e-01
16.306511,35966,-9.473000000000e-01
22.393308,15201,1.966420000000e+00
22.683299,15203,4.986080000000e+00
44.762641,15136,3.942000000000e+00
44.999975,10722,3.735890000000e+00
44.999975,10773,3.948510000000e+00
45.001117,15137,3.991240000000e+00
45.237636,15138,4.018260000000e+00
90.000000,10725,2.077060000000e+00
90.000000,10770,2.013350000000e-01
90.000000,15151,3.134360000000e-01
134.754183,15155,-3.169970000000e+00
134.998895,15154,-3.465130000000e+00
135.000000,10728,-8.597010000000e+00
135.000000,10767,-4.745610000000e-01
135.245629,15153,-3.747750000000e+00
141.622074,25065,1.300910000000e-02
157.316920,15234,-1.318700000000e+00
157.607002,15232,-2.698070000000e-02
179.999989,15167,1.376740000000e-01
179.999991,15168,2.168460000000e-02
179.999994,15169,-9.384930000000e-02
180.000000,10731,1.304130000000e-01
180.000000,7663,-3.713170000000e-02
202.392866,15235,5.386200000000e-01
202.682987,15237,1.920460000000e+00
224.754495,15170,3.064330000000e+00
225.000000,10698,4.405440000000e+00
225.000000,10734,2.067640000000e+00
225.001105,15171,3.422510000000e+00
225.245817,15172,3.766600000000e+00
270.000000,10695,4.786410000000e-01
270.000000,10737,2.594270000000e+00
270.000000,15185,-5.143120000000e-01
314.754393,15189,-4.783670000000e+00
314.998883,15188,-5.643620000000e+00
315.000025,10692,-2.716190000000e+00
315.000025,10740,-7.459400000000e+00
315.245483,15187,-6.496900000000e+00
337.316668,15268,-3.890540000000e+00
337.606595,15266,-1.314250000000e+00
343.693489,35969,1.011740000000e+00
359.999994,10307,-2.062210000000e-01
360.000000,10713,1.654960000000e-01
360.000000,7666,2.587800000000e-01
360.000000,7669,-1.479780000000e-02
