angle_deg,node,SZX
0.000000,10306,-1.123100000000e-01
0.000006,10305,-1.463730000000e-01
16.306511,35966,1.762960000000e-03
22.393308,15201,7.946850000000e-02
22.683299,15203,-3.678700000000e-01
44.762641,15136,1.366760000000e+00
44.999975,10722,-2.474760000000e+00
44.999975,10773,-8.651260000000e-02
45.001117,15137,1.348770000000e+00
45.237636,15138,1.352210000000e+00
90.000000,10725,1.995210000000e-01
90.000000,10770,7.473280000000e-01
90.000000,15151,-1.916670000000e+00
134.754183,15155,-2.528420000000e-01
134.998895,15154,8.377700000000e-02
135.000000,10728,-2.656790000000e-01
135.000000,10767,5.119380000000e-01
135.245629,15153,4.235570000000e-01
141.622074,25065,1.229960000000e-01
157.316920,15234,-2.366330000000e-01
157.607002,15232,1.178760000000e-01
179.999989,15167,-1.360990000000e-02
179.999991,15168,-2.628480000000e-02
179.999994,15169,-4.096210000000e-02
180.000000,10731,-1.034230000000e-01
180.000000,7663,1.028120000000e-01
202.392866,15235,7.531940000000e-02
202.682987,15237,4.003870000000e-01
224.754495,15170,-2.349540000000e+00
225.000000,10698,3.019230000000e-01
225.000000,10734,1.473250000000e+00
225.001105,15171,-2.118110000000e+00
225.245817,15172,-1.884880000000e+00
270.000000,10695,-6.501030000000e-01
270.000000,10737,-1.522490000000e-01
270.000000,15185,2.248620000000e+00
314.754393,15189,1.283500000000e+00
314.998883,15188,1.263400000000e+00
315.000025,10692,-4.611540000000e-01
315.000025,10740,1.607730000000e+00
315.245483,15187,1.200700000000e+00
337.316668,15268,5.971530000000e-01
337.606595,15266,1.401770000000e-01
343.693489,35969,-2.635610000000e-01
359.999994,10307,-7.470720000000e-02
360.000000,10713,-2.032750000000e-01
360.000000,7666,4.339790000000e-01
360.000000,7669,-1.908720000000e-01
