angle_deg,node,SZZ
0.000000,10306,8.105200000000e+00
0.000006,10305,1.110380000000e+01
16.306511,35966,5.654040000000e-01
22.393308,15201,7.961310000000e+00
22.683299,15203,3.673490000000e+00
44.762641,15136,2.065840000000e+00
44.999975,10722,-4.043140000000e+00
44.999975,10773,-5.536310000000e+00
45.001117,15137,3.135920000000e+00
45.237636,15138,4.217060000000e+00
90.000000,10725,1.207250000000e+00
90.000000,10770,1.109660000000e+00
90.000000,15151,-6.434820000000e+00
134.754183,15155,7.382510000000e+00
134.998895,15154,7.206810000000e+00
135.000000,10728,-5.436060000000e+00
135.000000,10767,-3.621470000000e-01
135.245629,15153,7.143600000000e+00
141.622074,25065,3.073640000000e-01
157.316920,15234,4.401020000000e+00
157.607002,15232,6.866530000000e+00
179.999989,15167,7.539290000000e+00
179.999991,15168,5.300660000000e+00
179.999994,15169,3.087350000000e+00
180.000000,10731,1.241960000000e+00
180.000000,7663,4.512720000000e-01
202.392866,15235,5.743580000000e+00
202.682987,15237,4.712120000000e+00
224.754495,15170,3.456880000000e+00
225.000000,10698,-3.470830000000e+00
225.000000,10734,-1.373950000000e+00
225.001105,15171,5.923980000000e+00
225.245817,15172,8.466520000000e+00
270.000000,10695,1.396150000000e+00
270.000000,10737,1.065680000000e+00
270.000000,15185,-6.251130000000e+00
314.754393,15189,6.640010000000e+00
314.998883,15188,5.965160000000e+00
315.000025,10692,-3.242400000000e+00
315.000025,10740,-6.787050000000e+00
315.245483,15187,5.368900000000e+00
337.316668,15268,5.893480000000e+00
337.606595,15266,9.812210000000e+00
343.693489,35969,1.529000000000e+00
359.999994,10307,5.151010000000e+00
360.000000,10713,-4.612430000000e-01
360.000000,7666,-3.218930000000e+00
360.000000,7669,-4.621610000000e-01
