angle_deg,node,VONMISES
0.000000,10306,8.403263709581e+00
0.000006,10305,1.203514937087e+01
16.306511,35966,4.081495125752e+00
22.393308,15201,1.018208613832e+01
22.683299,15203,1.605073547145e+01
44.762641,15136,1.984590713167e+01
44.999975,10722,8.662247838587e+00
44.999975,10773,7.897750710620e+00
45.001117,15137,2.149688915624e+01
45.237636,15138,2.315065791267e+01
90.000000,10725,3.474030826101e+01
90.000000,10770,1.096178664406e+01
90.000000,15151,2.451125700711e+01
134.754183,15155,1.910813162145e+01
134.998895,15154,2.030741383073e+01
135.000000,10728,1.665289824814e+01
135.000000,10767,1.474227241649e+00
135.245629,15153,2.157552175632e+01
141.622074,25065,1.242541464336e+01
157.316920,15234,8.918378175109e+00
157.607002,15232,6.930454287779e+00
179.999989,15167,8.157118901310e+00
179.999991,15168,5.668615344953e+00
179.999994,15169,3.675435165658e+00
180.000000,10731,1.999017358181e+00
180.000000,7663,1.412537030532e+00
202.392866,15235,7.498970262260e+00
202.682987,15237,8.297392324385e+00
224.754495,15170,2.102813134002e+01
225.000000,10698,8.395520582557e+00
225.000000,10734,5.194982899417e+00
225.001105,15171,2.029367396152e+01
225.245817,15172,1.967282151622e+01
270.000000,10695,1.184952070392e+01
270.000000,10737,3.468794767095e+01
270.000000,15185,2.407534546379e+01
314.754393,15189,2.576519880858e+01
314.998883,15188,2.425402960425e+01
315.000025,10692,5.881045377405e+00
315.000025,10740,1.514678518089e+01
315.245483,15187,2.296386320314e+01
337.316668,15268,1.503499568280e+01
337.606595,15266,1.032385787139e+01
343.693489,35969,5.056074069682e+00
359.999994,10307,5.124918658792e+00
360.000000,10713,2.834160159846e+00
360.000000,7666,2.878189747242e+00
360.000000,7669,2.815348537092e+00
