component,min_value,min_node,min_angle_deg,max_value,max_node,max_angle_deg
SXX,-3.764530000000e+00,15170,224.754495,2.120730000000e+00,10713,360.000000
SYY,-3.351380000000e+01,10725,90.000000,8.021980000000e+00,15167,179.999989
SZZ,-6.787050000000e+00,10740,315.000025,1.110380000000e+01,10305,0.000006
SXY,-2.425930000000e+00,10728,135.000000,1.933910000000e+00,10722,44.999975
SYZ,-8.597010000000e+00,10728,135.000000,4.986080000000e+00,15203,22.683299
SZX,-2.474760000000e+00,10722,44.999975,2.248620000000e+00,15185,270.000000
VM,1.412537030532e+00,7663,180.000000,3.474030826101e+01,10725,90.000000
PMAX,-1.231212448560e+00,10773,44.999975,1.111138974382e+01,10305,0.000006
PMIN,-3.365165174349e+01,10737,270.000000,-3.592209557598e-01,15167,179.999989
MAXSHEAR,7.760134016344e-01,7663,180.000000,1.752865934226e+01,10725,90.000000
